Date & time;Dag;Profile E1a [kWh];Profile E1b [kWh];Totaal;;uurfractie E
01-06-2009 14:00:00;6,00;2443,189415;1668,710462;4111,899877;;0,00013162
01-06-2009 15:00:00;6,00;2246,902316;1677,10649;3924,008806;;0,00012560
01-06-2009 16:00:00;6,00;2494,211061;1893,604055;4387,815117;;0,00014045
01-06-2009 17:00:00;6,00;3297,883238;2642,799579;5940,682817;;0,00019016
01-06-2009 18:00:00;6,00;3781,613943;3158,705482;6940,319425;;0,00022215
01-06-2009 19:00:00;6,00;3737,579338;3078,043647;6815,622984;;0,00021816
01-06-2009 20:00:00;6,00;3438,111521;2865,444237;6303,555757;;0,00020177
01-06-2009 21:00:00;6,00;3153,592722;2568,434764;5722,027486;;0,00018316
01-06-2009 22:00:00;6,00;2883,535472;2346,689681;5230,225153;;0,00016742
01-06-2009 23:00:00;6,00;2333,021656;2311,75621;4644,777866;;0,00014868
01-07-2009 00:00:00;6,00;1534,224159;1999,903761;3534,12792;;0,00011312
01-07-2009 01:00:00;7,00;1147,01211;1395,539711;2542,55182;;0,00008139
01-07-2009 02:00:00;7,00;988,7475119;1071,692937;2060,440448;;0,00006595
01-07-2009 03:00:00;7,00;905,5529801;925,3621718;1830,915152;;0,00005861
01-07-2009 04:00:00;7,00;849,0066967;889,2292679;1738,235965;;0,00005564
01-07-2009 05:00:00;7,00;885,5667937;1036,159749;1921,726543;;0,00006151
01-07-2009 06:00:00;7,00;1059,430366;1162,999735;2222,430102;;0,00007114
01-07-2009 07:00:00;7,00;1430,880951;1516,382535;2947,263486;;0,00009434
01-07-2009 08:00:00;7,00;1972,457855;2028,540211;4000,998066;;0,00012807
01-07-2009 09:00:00;7,00;2368,119349;1954,475255;4322,594604;;0,00013836
01-07-2009 10:00:00;7,00;2690,823138;1848,025621;4538,848759;;0,00014529
01-07-2009 11:00:00;7,00;2669,537037;1740,97627;4410,513308;;0,00014118
01-07-2009 12:00:00;7,00;2732,907872;1758,368041;4491,275914;;0,00014376
01-07-2009 13:00:00;7,00;2640,126471;1806,045483;4446,171954;;0,00014232
01-07-2009 14:00:00;7,00;2524,596564;1782,206762;4306,803326;;0,00013786
01-07-2009 15:00:00;7,00;2518,909438;1701,09514;4220,004578;;0,00013508
01-07-2009 16:00:00;7,00;2839,013398;1919,541783;4758,555181;;0,00015232
01-07-2009 17:00:00;7,00;3487,183295;2656,443124;6143,626419;;0,00019665
01-07-2009 18:00:00;7,00;3789,413431;3189,740798;6979,154229;;0,00022340
01-07-2009 19:00:00;7,00;3728,967404;3202,934556;6931,901959;;0,00022189
01-07-2009 20:00:00;7,00;3455,01041;2879,987356;6334,997766;;0,00020278
01-07-2009 21:00:00;7,00;3121,419836;2621,809511;5743,229347;;0,00018384
01-07-2009 22:00:00;7,00;2837,875973;2478,327398;5316,203371;;0,00017017
01-07-2009 23:00:00;7,00;2313,03547;2327,498761;4640,534231;;0,00014854
01-08-2009 00:00:00;7,00;1545,598411;1973,066458;3518,66487;;0,00011263
01-08-2009 01:00:00;8,00;1095,665484;1355,208793;2450,874278;;0,00007845
01-08-2009 02:00:00;8,00;1015,883228;1067,195065;2083,078293;;0,00006668
01-08-2009 03:00:00;8,00;936,9134188;914,8671375;1851,780556;;0,00005927
01-08-2009 04:00:00;8,00;885,2418151;892,3777782;1777,619593;;0,00005690
01-08-2009 05:00:00;8,00;904,7405335;978,1372017;1882,877735;;0,00006027
01-08-2009 06:00:00;8,00;1074,216894;1148,306687;2222,523582;;0,00007114
01-08-2009 07:00:00;8,00;1513,100547;1431,072899;2944,173446;;0,00009424
01-08-2009 08:00:00;8,00;1980,257342;1980,562912;3960,820254;;0,00012678
01-08-2009 09:00:00;8,00;2460,250793;1984,610996;4444,86179;;0,00014228
01-08-2009 10:00:00;8,00;2654,750509;1846,826188;4501,576697;;0,00014409
01-08-2009 11:00:00;8,00;2659,950168;1836,780941;4496,731109;;0,00014394
01-08-2009 12:00:00;8,00;2762,643418;1873,063774;4635,707192;;0,00014839
01-08-2009 13:00:00;8,00;2668,237123;1955,974545;4624,211668;;0,00014802
01-08-2009 14:00:00;8,00;2630,377111;1819,838957;4450,216068;;0,00014245
01-08-2009 15:00:00;8,00;2591,542164;1834,532005;4426,074169;;0,00014168
01-08-2009 16:00:00;8,00;2794,328835;1981,912273;4776,241108;;0,00015288
01-08-2009 17:00:00;8,00;3333,955867;2773,687651;6107,643517;;0,00019550
01-08-2009 18:00:00;8,00;3632,448748;3151,808745;6784,257493;;0,00021716
01-08-2009 19:00:00;8,00;3548,929237;3090,487759;6639,416996;;0,00021252
01-08-2009 20:00:00;8,00;3440,223882;2776,086516;6216,310398;;0,00019898
01-08-2009 21:00:00;8,00;3122,557261;2562,73746;5685,294722;;0,00018198
01-08-2009 22:00:00;8,00;2871,511262;2505,014771;5376,526033;;0,00017210
01-08-2009 23:00:00;8,00;2324,89719;2387,320457;4712,217647;;0,00015083
01-09-2009 00:00:00;8,00;1588,495592;2154,330695;3742,826286;;0,00011981
01-09-2009 01:00:00;9,00;1126,538455;1512,184521;2638,722976;;0,00008446
01-09-2009 02:00:00;9,00;953,8123081;1167,197749;2121,010057;;0,00006789
01-09-2009 03:00:00;9,00;906,3654267;970,3408905;1876,706317;;0,00006007
01-09-2009 04:00:00;9,00;889,7915161;923,7129522;1813,504468;;0,00005805
01-09-2009 05:00:00;9,00;906,6904053;928,6606112;1835,351017;;0,00005875
01-09-2009 06:00:00;9,00;1048,218603;1139,460873;2187,679476;;0,00007003
01-09-2009 07:00:00;9,00;1421,294082;1501,539558;2922,833639;;0,00009356
01-09-2009 08:00:00;9,00;1945,647117;1966,619509;3912,266626;;0,00012523
01-09-2009 09:00:00;9,00;2404,516957;1974,41582;4378,932777;;0,00014017
01-09-2009 10:00:00;9,00;2548,644983;1896,452708;4445,097691;;0,00014228
01-09-2009 11:00:00;9,00;2523,29665;1846,52633;4369,822979;;0,00013987
01-09-2009 12:00:00;9,00;2575,455721;1856,721506;4432,177227;;0,00014187
01-09-2009 13:00:00;9,00;2462,200665;1717,587336;4179,788002;;0,00013379
01-09-2009 14:00:00;9,00;2413,29138;1737,82776;4151,11914;;0,00013287
01-09-2009 15:00:00;9,00;2364,544584;1703,194146;4067,73873;;0,00013021
01-09-2009 16:00:00;9,00;2643,376257;1874,413136;4517,789392;;0,00014461
01-09-2009 17:00:00;9,00;3323,069082;2574,731785;5897,800867;;0,00018878
01-09-2009 18:00:00;9,00;3654,872274;3175,497537;6830,369811;;0,00021864
01-09-2009 19:00:00;9,00;3560,303489;2997,981528;6558,285017;;0,00020993
01-09-2009 20:00:00;9,00;3490,92055;2773,687651;6264,6082;;0,00020053
01-09-2009 21:00:00;9,00;3111,507988;2592,723272;5704,23126;;0,00018259
01-09-2009 22:00:00;9,00;2945,768881;2376,975352;5322,744233;;0,00017038
01-09-2009 23:00:00;9,00;2448,714052;2253,883592;4702,597644;;0,00015053
01-10-2009 00:00:00;9,00;1811,268449;1890,605474;3701,873924;;0,00011849
01-10-2009 01:00:00;10,00;1286,752925;1443,067224;2729,820148;;0,00008738
01-10-2009 02:00:00;10,00;1027,257481;1103,327969;2130,585449;;0,00006820
01-10-2009 03:00:00;10,00;926,839081;992,0806045;1918,919686;;0,00006142
01-10-2009 04:00:00;10,00;881,9920287;917,8657187;1799,857747;;0,00005761
01-10-2009 05:00:00;10,00;893,6912597;918,9152222;1812,606482;;0,00005802
01-10-2009 06:00:00;10,00;956,0871586;1054,601023;2010,688182;;0,00006436
01-10-2009 07:00:00;10,00;1126,375966;1256,855328;2383,231294;;0,00007629
01-10-2009 08:00:00;10,00;1756,18457;1683,703368;3439,887938;;0,00011011
01-10-2009 09:00:00;10,00;2405,491893;2208,605015;4614,096908;;0,00014769
01-10-2009 10:00:00;10,00;2812,36515;2397,515634;5209,880783;;0,00016676
01-10-2009 11:00:00;10,00;2774,667627;2466,033215;5240,700842;;0,00016775
01-10-2009 12:00:00;10,00;2884,835386;2549,393774;5434,22916;;0,00017395
01-10-2009 13:00:00;10,00;2831,538889;2351,187553;5182,726443;;0,00016590
01-10-2009 14:00:00;10,00;2789,779134;2294,664297;5084,443431;;0,00016275
01-10-2009 15:00:00;10,00;2526,871415;2143,086015;4669,95743;;0,00014948
01-10-2009 16:00:00;10,00;2567,006277;2216,251397;4783,257674;;0,00015311
01-10-2009 17:00:00;10,00;3222,650683;2904,125935;6126,776617;;0,00019611
01-10-2009 18:00:00;10,00;3645,935361;3639,228127;7285,163488;;0,00023319
01-10-2009 19:00:00;10,00;3570,215338;3439,822474;7010,037812;;0,00022439
01-10-2009 20:00:00;10,00;3358,816733;3123,172295;6481,989027;;0,00020748
01-10-2009 21:00:00;10,00;3030,100838;2643,699154;5673,799992;;0,00018161
01-10-2009 22:00:00;10,00;2888,897619;2369,628828;5258,526447;;0,00016832
01-10-2009 23:00:00;10,00;2431,165205;2243,238629;4674,403834;;0,00014962
01-11-2009 00:00:00;10,00;1817,605533;1790,452861;3608,058394;;0,00011549
01-11-2009 01:00:00;11,00;1321,525639;1392,091342;2713,616982;;0,00008686
01-11-2009 02:00:00;11,00;1129,625752;1137,062008;2266,68776;;0,00007256
01-11-2009 03:00:00;11,00;972,9860479;981,5855702;1954,571618;;0,00006256
01-11-2009 04:00:00;11,00;923,264316;931,6591925;1854,923508;;0,00005937
01-11-2009 05:00:00;11,00;930,5763354;889,2292679;1819,805603;;0,00005825
01-11-2009 06:00:00;11,00;928,7889528;910,3692656;1839,158218;;0,00005887
01-11-2009 07:00:00;11,00;1073,891916;1040,057904;2113,94982;;0,00006767
01-11-2009 08:00:00;11,00;1443,23014;1410,08283;2853,31297;;0,00009133
01-11-2009 09:00:00;11,00;1945,484628;1845,776685;3791,261312;;0,00012136
01-11-2009 10:00:00;11,00;2248,039742;2108,902189;4356,94193;;0,00013946
01-11-2009 11:00:00;11,00;2497,623337;2288,966992;4786,590329;;0,00015322
01-11-2009 12:00:00;11,00;2632,489473;2326,899045;4959,388518;;0,00015875
01-11-2009 13:00:00;11,00;2608,278564;2426,451943;5034,730506;;0,00016116
01-11-2009 14:00:00;11,00;2764,59329;2392,567974;5157,161264;;0,00016508
01-11-2009 15:00:00;11,00;2568,63117;2217,300901;4785,932071;;0,00015319
01-11-2009 16:00:00;11,00;2520,85931;2302,460608;4823,319918;;0,00015439
01-11-2009 17:00:00;11,00;3380,590302;2690,926808;6071,51711;;0,00019434
01-11-2009 18:00:00;11,00;3713,04345;3444,170417;7157,213867;;0,00022910
01-11-2009 19:00:00;11,00;3752,365866;3329,924471;7082,290337;;0,00022670
01-11-2009 20:00:00;11,00;3615,874837;3126,770592;6742,645429;;0,00021583
01-11-2009 21:00:00;11,00;3181,865863;2761,693326;5943,559189;;0,00019025
01-11-2009 22:00:00;11,00;2833,001293;2489,122291;5322,123584;;0,00017036
01-11-2009 23:00:00;11,00;2181,58161;2166,624878;4348,206487;;0,00013918
01-12-2009 00:00:00;11,00;1404,232703;1561,361254;2965,593957;;0,00009493
01-12-2009 01:00:00;12,00;1013,608378;1091,483573;2105,091951;;0,00006738
01-12-2009 02:00:00;12,00;904,2530655;943,0538012;1847,306867;;0,00005913
01-12-2009 03:00:00;12,00;853,5563977;870,188277;1723,744675;;0,00005518
01-12-2009 04:00:00;12,00;873,3800947;830,1572174;1703,537312;;0,00005453
01-12-2009 05:00:00;12,00;902,3031937;879,0340916;1781,337285;;0,00005702
01-12-2009 06:00:00;12,00;1099,402739;1126,417044;2225,819783;;0,00007125
01-12-2009 07:00:00;12,00;1590,770442;1606,339972;3197,110415;;0,00010234
01-12-2009 08:00:00;12,00;2105,211629;2045,482195;4150,693825;;0,00013286
01-12-2009 09:00:00;12,00;2443,514393;2184,616365;4628,130759;;0,00014814
01-12-2009 10:00:00;12,00;2519,071927;2138,588143;4657,66007;;0,00014909
01-12-2009 11:00:00;12,00;2490,798786;2075,767866;4566,566652;;0,00014617
01-12-2009 12:00:00;12,00;2505,585314;2022,543049;4528,128363;;0,00014494
01-12-2009 13:00:00;12,00;2320,509978;1897,65214;4218,162118;;0,00013502
01-12-2009 14:00:00;12,00;2243,65253;1725,983364;3969,635894;;0,00012707
01-12-2009 15:00:00;12,00;2262,82627;1800,947895;4063,774165;;0,00013008
01-12-2009 16:00:00;12,00;2576,430657;2026,890992;4603,321649;;0,00014735
01-12-2009 17:00:00;12,00;3301,620492;2712,96638;6014,586872;;0,00019252
01-12-2009 18:00:00;12,00;3640,085746;3241,166466;6881,252212;;0,00022026
01-12-2009 19:00:00;12,00;3605,962988;3275,950009;6881,912997;;0,00022029
01-12-2009 20:00:00;12,00;3434,049288;2933,512031;6367,561319;;0,00020382
01-12-2009 21:00:00;12,00;3119,307475;2691,826383;5811,133858;;0,00018601
01-12-2009 22:00:00;12,00;2771,905309;2469,481583;5241,386892;;0,00016777
01-12-2009 23:00:00;12,00;2207,74239;2212,353242;4420,095632;;0,00014148
01-13-2009 00:00:00;12,00;1446,804905;1894,50363;3341,308535;;0,00010695
01-13-2009 01:00:00;13,00;1041,88152;1346,962695;2388,844214;;0,00007647
