"Regio's";"Perioden";"m3";"m3";"m3";"m3";"m3";"m3";"%";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh"
"Bergen op Zoom";"2012*";"1500";"1000";"1400";"1600";"1900";"2500";"0.0";"3300";"2400";"3300";"3400";"3900";"4900"
"Berkelland";"2010";"2300";"1150";"1650";"1900";"2300";"3000";"0.0";"3650";"2150";"2900";"3150";"3900";"4450"
"Berkelland";"2011";"1800";"950";"1300";"1500";"1850";"2400";"0.0";"3650";"2200";"2900";"3100";"3900";"4450"
"Berkelland";"2012*";"1850";"1000";"1400";"1600";"1950";"2500";"0.0";"3550";"2200";"2850";"3050";"3850";"4350"
"Bernheze";"2010";"2300";"1200";"1750";"1900";"2350";"3050";"0.0";"4150";"2550";"3550";"3600";"4300";"5000"
"Bernheze";"2011";"1750";"900";"1350";"1450";"1850";"2350";"0.0";"4100";"2400";"3550";"3550";"4250";"4950"
"Bernheze";"2012*";"1900";"950";"1400";"1550";"1950";"2600";"0.0";"4050";"2350";"3500";"3550";"4250";"4900"
"Bernisse";"2010";"2050";"1050";"1700";"2000";"2250";"2800";"0.0";"3900";"2150";"3600";"3750";"4100";"4900"
"Bernisse";"2011";"1600";"850";"1350";"1550";"1800";"2250";"0.0";"3900";"2200";"3550";"3700";"4100";"4900"
"Bernisse";"2012*";"1650";"1050";"1350";"1600";"1850";"2350";"0.0";"3750";"2100";"3450";"3650";"4050";"4650"
"Best";"2010";"2050";"1150";"1850";"2100";"2500";"3250";"0.0";"4000";"2350";"3900";"4150";"4700";"5550"
"Best";"2011";"1550";"900";"1450";"1650";"1950";"2500";"0.0";"3900";"2300";"3800";"4050";"4550";"5400"
"Best";"2012*";"1650";"950";"1500";"1750";"2050";"2650";"0.0";"3800";"2250";"3750";"3950";"4550";"5250"
"Beuningen";"2010";"2050";"1050";"1650";"1950";"2350";"3000";"0.0";"3950";"2350";"3550";"3750";"4500";"5150"
"Beuningen";"2011";"1600";"850";"1300";"1500";"1850";"2300";"0.0";"3900";"2350";"3500";"3750";"4400";"5150"
"Beuningen";"2012*";"1650";"950";"1350";"1600";"1950";"2500";"0.0";"3750";"2300";"3400";"3600";"4350";"5050"
"Beverwijk";"2010";"1750";"1250";"1650";"2100";"2500";"3150";"0.0";"3050";"2150";"3350";"3650";"3900";"4550"
"Beverwijk";"2011";"1350";"1000";"1300";"1700";"2000";"2500";"0.0";"3050";"2150";"3350";"3650";"3950";"4500"
"Beverwijk";"2012*";"1400";"1050";"1350";"1750";"2050";"2700";"0.0";"3000";"2150";"3250";"3550";"3850";"4500"
"het Bildt";"2010";"2200";"1250";"1750";"1950";"2050";"2550";"0.0";"3100";"1600";"2350";"2650";"2900";"3600"
"het Bildt";"2011";"1700";"1000";"1400";"1550";"1600";"2000";"0.0";"3000";"1600";"2350";"2600";"2850";"3550"
"het Bildt";"2012*";"1850";"1050";"1500";"1650";"1750";"2150";"0.0";"2950";"1550";"2350";"2550";"2800";"3500"
"De Bilt";"2010";"2400";"1350";"2000";"2450";"3250";"4450";"0.0";"3650";"2500";"3350";"3800";"4500";"5400"
"De Bilt";"2011";"1900";"1000";"1550";"1950";"2550";"3550";"0.0";"3650";"2450";"3350";"3750";"4500";"5400"
"De Bilt";"2012*";"1950";"1100";"1600";"2000";"2650";"3700";"0.0";"3500";"2450";"3250";"3600";"4400";"5250"
"Binnenmaas";"2010";"2000";"1150";"1650";"1950";"2350";"3050";"0.0";"3650";"2400";"3350";"3550";"4000";"4700"
"Binnenmaas";"2011";"1550";"800";"1250";"1500";"1800";"2350";"0.0";"3550";"2300";"3300";"3450";"3950";"4650"
"Binnenmaas";"2012*";"1600";"800";"1350";"1600";"1950";"2500";"0.0";"3500";"2300";"3250";"3450";"3950";"4650"
"Bladel";"2010";"2250";"1150";"1750";"1950";"2300";"3000";"0.0";"3900";"2550";"3350";"3450";"4050";"4700"
"Bladel";"2011";"1800";"850";"1400";"1550";"1850";"2400";"0.0";"3900";"2550";"3350";"3450";"4100";"4850"
"Bladel";"2012*";"1800";"900";"1450";"1600";"1900";"2450";"0.0";"3850";"2550";"3300";"3400";"4050";"4750"
"Blaricum";"2010";"3150";"1800";"2200";"2400";"3000";"5100";"0.0";"4100";"3000";"3400";"3550";"3850";"5600"
"Blaricum";"2011";"2400";"1200";"1700";"1850";"2350";"3950";"0.0";"4000";"2800";"3400";"3500";"3850";"5600"
"Blaricum";"2012*";"2550";"1250";"1850";"2000";"2500";"4250";"0.0";"4000";"2900";"3250";"3450";"3850";"5550"
"Bloemendaal";"2010";"2850";"1500";"2300";"2750";"3550";"5100";"0.0";"3800";"2200";"3400";"3900";"4650";"5500"
