"Regio's";"Perioden";"m3";"m3";"m3";"m3";"m3";"m3";"%";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh"
"Haren";"2010";"2650";"1600";"2100";"2400";"3000";"4100";"0.0";"3400";"2150";"2900";"3000";"3750";"4750"
"Haren";"2011";"2100";"1200";"1650";"1850";"2350";"3200";"0.0";"3300";"2150";"2850";"3000";"3700";"4750"
"Haren";"2012*";"2250";"1300";"1750";"2000";"2550";"3550";"0.0";"3300";"2150";"2850";"2950";"3650";"4750"
"Harenkarspel";"2010";"2150";"1000";"1700";"1950";"2150";"2750";"0.0";"3750";"1950";"3250";"3400";"3950";"4500"
"Harenkarspel";"2011";"1700";"800";"1350";"1550";"1700";"2200";"0.0";"3750";"1950";"3300";"3400";"3950";"4500"
"Harenkarspel";"2012*";"1800";"850";"1400";"1600";"1800";"2300";"0.0";"3600";"1900";"3200";"3300";"3900";"4450"
"Harlingen";"2010";"1950";"1350";"1900";"2050";"2150";"2650";"0.0";"2950";"2000";"2800";"2950";"3400";"4000"
"Harlingen";"2011";"1550";"1050";"1500";"1600";"1700";"2150";"0.0";"3000";"2050";"2800";"2950";"3350";"4050"
"Harlingen";"2012*";"1700";"1150";"1600";"1750";"1850";"2300";"0.0";"2900";"2050";"2800";"2900";"3350";"3900"
"Hattem";"2010";"2300";"1250";"1800";"2050";"2400";"3350";"0.0";"3500";"2250";"3100";"3250";"3750";"4450"
"Hattem";"2011";"1800";"1000";"1400";"1600";"1850";"2600";"0.0";"3450";"2150";"3050";"3200";"3700";"4350"
"Hattem";"2012*";"1850";"1100";"1500";"1700";"2000";"2700";"0.0";"3350";"2100";"3000";"3100";"3650";"4250"
"Heemskerk";"2010";"1750";"1300";"1700";"2000";"2350";"3000";"0.0";"3200";"2150";"3400";"3600";"4100";"4800"
"Heemskerk";"2011";"1400";"1000";"1350";"1600";"1850";"2400";"0.0";"3200";"2150";"3400";"3600";"4100";"4800"
"Heemskerk";"2012*";"1450";"1100";"1400";"1700";"1950";"2550";"0.0";"3150";"2150";"3350";"3550";"4050";"4700"
"Heemstede";"2010";"2350";"1350";"2100";"2700";"3600";"4900";"0.0";"3400";"2300";"3350";"3700";"4450";"5300"
"Heemstede";"2011";"1800";"1050";"1650";"2150";"2800";"3900";"0.0";"3350";"2300";"3350";"3700";"4400";"5300"
"Heemstede";"2012*";"1850";"1100";"1750";"2250";"2950";"4100";"0.0";"3300";"2300";"3300";"3650";"4400";"5250"
"Heerde";"2010";"2350";"1150";"1750";"2000";"2450";"3050";"0.0";"3600";"2050";"3000";"3250";"3850";"4300"
"Heerde";"2011";"1900";"900";"1400";"1600";"2000";"2450";"0.0";"3700";"2150";"3050";"3250";"3900";"4400"
"Heerde";"2012*";"2000";"1000";"1450";"1650";"2100";"2550";"0.0";"3550";"2150";"2950";"3100";"3800";"4300"
"Heerenveen";"2010";"2050";"1250";"1700";"1950";"2150";"2850";"0.0";"3100";"1950";"2800";"3000";"3300";"4100"
"Heerenveen";"2011";"1600";"1000";"1350";"1550";"1700";"2250";"0.0";"3100";"1950";"2800";"3000";"3300";"4100"
"Heerenveen";"2012*";"1750";"1000";"1450";"1600";"1800";"2400";"0.0";"3050";"1950";"2750";"2900";"3250";"4000"
"Heerhugowaard";"2010";"1600";"900";"1450";"1750";"1900";"2650";"10.0";"3500";"2100";"3500";"3700";"4300";"4900"
"Heerhugowaard";"2011";"1250";"700";"1200";"1400";"1500";"2050";"10.0";"3500";"2100";"3500";"3700";"4250";"4800"
"Heerhugowaard";"2012*";"1300";"750";"1250";"1500";"1600";"2200";"10.0";"3350";"2050";"3450";"3550";"4100";"4700"
"Heerlen";"2010";"1850";"1200";"1850";"2150";"2550";"3550";"0.0";"3100";"2200";"3250";"3450";"3850";"4700"
"Heerlen";"2011";"1400";"850";"1400";"1650";"1950";"2750";"0.0";"3050";"2150";"3250";"3400";"3800";"4650"
"Heerlen";"2012*";"1500";"950";"1500";"1750";"2100";"2950";"0.0";"3050";"2150";"3200";"3400";"3750";"4600"
"Heeze-Leende";"2010";"2500";"1200";"1950";"2050";"2550";"3350";"0.0";"4100";"2300";"3700";"3600";"4250";"4900"
"Heeze-Leende";"2011";"2000";"950";"1550";"1600";"1950";"2650";"0.0";"4000";"2300";"3550";"3500";"4150";"4750"
"Heeze-Leende";"2012*";"2000";"1000";"1600";"1650";"2050";"2750";"0.0";"3950";"2250";"3550";"3500";"4100";"4700"
"Heiloo";"2010";"2200";"1050";"1850";"2200";"2600";"3200";"0.0";"3450";"2250";"3300";"3500";"3850";"4250"
"Heiloo";"2011";"1750";"850";"1450";"1750";"2100";"2600";"0.0";"3450";"2250";"3300";"3500";"3900";"4250"
"Heiloo";"2012*";"1800";"800";"1550";"1850";"2150";"2700";"0.0";"3400";"2150";"3200";"3400";"3750";"4200"
"Den Helder";"2010";"1750";"1300";"1750";"2000";"2250";"2650";"0.0";"2950";"1950";"3050";"3150";"3850";"4650"
"Den Helder";"2011";"1400";"1000";"1400";"1600";"1750";"2150";"0.0";"2950";"2000";"3050";"3100";"3800";"4600"
"Den Helder";"2012*";"1500";"1100";"1500";"1700";"1900";"2400";"0.0";"2900";"2000";"3000";"3050";"3750";"4400"
"Hellendoorn";"2010";"2300";"1300";"1850";"2100";"2450";"3150";"0.0";"3700";"2300";"3400";"3500";"4000";"4500"
"Hellendoorn";"2011";"1800";"950";"1400";"1600";"1900";"2450";"0.0";"3650";"2200";"3350";"3450";"3900";"4500"
"Hellendoorn";"2012*";"1850";"1000";"1500";"1700";"2000";"2600";"0.0";"3550";"2250";"3300";"3400";"3900";"4400"
"Hellevoetsluis";"2010";"1650";"1150";"1550";"1900";"2150";"2900";"0.0";"3600";"2550";"3650";"3850";"4600";"5250"
"Hellevoetsluis";"2011";"1300";"900";"1200";"1450";"1700";"2250";"0.0";"3550";"2500";"3550";"3800";"4550";"5200"
"Hellevoetsluis";"2012*";"1350";"950";"1300";"1550";"1750";"2400";"0.0";"3450";"2500";"3500";"3700";"4400";"5050"
"Helmond";"2010";"1500";"950";"1300";"1500";"2150";"3250";"17.0";"3500";"2350";"3450";"3600";"4400";"5350"
"Helmond";"2011";"1150";"750";"1000";"1200";"1650";"2550";"17.0";"3450";"2300";"3400";"3600";"4350";"5300"
"Helmond";"2012*";"1200";"750";"1100";"1250";"1750";"2700";"16.0";"3400";"2300";"3350";"3550";"4300";"5250"
"Hendrik-Ido-Ambacht";"2010";"1800";"1250";"1650";"2050";"2450";"3200";"0.0";"3450";"2150";"3600";"3800";"4400";"5200"
"Hendrik-Ido-Ambacht";"2011";"1350";"900";"1250";"1550";"1900";"2450";"0.0";"3400";"2100";"3550";"3700";"4300";"5150"
"Hendrik-Ido-Ambacht";"2012*";"1450";"1000";"1350";"1650";"1950";"2600";"0.0";"3350";"2100";"3450";"3700";"4200";"5150"
"Hengelo (O.)";"2010";"2000";"1250";"1850";"2150";"2400";"3150";"0.0";"3350";"2350";"3300";"3500";"3750";"4650"
"Hengelo (O.)";"2011";"1600";"950";"1450";"1700";"1900";"2550";"0.0";"3350";"2350";"3300";"3550";"3750";"4650"
"Hengelo (O.)";"2012*";"1700";"1050";"1600";"1850";"2050";"2750";"0.0";"3350";"2350";"3300";"3500";"3700";"4600"
"'s-Hertogenbosch";"2010";"1800";"1250";"1800";"2050";"2450";"3350";"0.0";"3300";"2450";"3450";"3600";"4250";"5200"
"'s-Hertogenbosch";"2011";"1350";"950";"1350";"1600";"1950";"2600";"0.0";"3250";"2400";"3400";"3600";"4250";"5200"
"'s-Hertogenbosch";"2012*";"1450";"1000";"1450";"1700";"2050";"2850";"0.0";"3200";"2350";"3400";"3550";"4200";"5150"
"Heumen";"2010";"2300";"1200";"1800";"2050";"2450";"3250";"0.0";"3900";"2550";"3350";"3500";"4200";"4850"
"Heumen";"2011";"1800";"950";"1400";"1600";"1950";"2550";"0.0";"3900";"2600";"3300";"3500";"4250";"4900"
"Heumen";"2012*";"1850";"1000";"1450";"1700";"2000";"2650";"0.0";"3750";"2550";"3200";"3400";"4100";"4750"
"Heusden";"2010";"2200";"1150";"1850";"2100";"2450";"3150";"0.0";"3900";"2300";"3600";"3700";"4150";"5000"
"Heusden";"2011";"1650";"850";"1400";"1600";"1900";"2400";"0.0";"3900";"2250";"3650";"3700";"4200";"5050"
"Heusden";"2012*";"1750";"900";"1500";"1700";"2000";"2600";"0.0";"3750";"2300";"3550";"3650";"4100";"5000"
"Hillegom";"2010";"1800";"1200";"1700";"2050";"2500";"3300";"0.0";"3250";"2200";"3350";"3450";"4250";"4950"
"Hillegom";"2011";"1450";"950";"1350";"1650";"2000";"2650";"0.0";"3300";"2250";"3350";"3500";"4250";"5050"
"Hillegom";"2012*";"1500";"1000";"1400";"1700";"2100";"2750";"0.0";"3250";"2200";"3250";"3400";"4150";"4850"
"Hilvarenbeek";"2010";"2450";"1300";"1950";"2150";"2500";"3150";"0.0";"4150";"2750";"3550";"3650";"4050";"5000"
"Hilvarenbeek";"2011";"1850";"1000";"1450";"1600";"1850";"2400";"0.0";"4100";"2700";"3450";"3600";"4000";"4950"
"Hilvarenbeek";"2012*";"2000";"1000";"1600";"1750";"2050";"2600";"0.0";"4000";"2750";"3400";"3550";"3900";"4950"
"Hilversum";"2010";"2100";"1350";"1950";"2500";"3300";"4950";"0.0";"3050";"2150";"3150";"3400";"4300";"5350"
"Hilversum";"2011";"1700";"1050";"1550";"2000";"2650";"4000";"0.0";"3100";"2150";"3150";"3450";"4350";"5350"
"Hilversum";"2012*";"1750";"1150";"1650";"2100";"2800";"4200";"0.0";"3000";"2150";"3100";"3400";"4300";"5400"
"Hof van Twente";"2010";"2400";"1600";"1900";"2050";"2450";"3150";"0.0";"3800";"2350";"3300";"3300";"4050";"4750"
"Hof van Twente";"2011";"2100";"1200";"1650";"1750";"2150";"2750";"0.0";"3800";"2300";"3300";"3300";"4050";"4750"
"Hof van Twente";"2012*";"2200";"1200";"1750";"1900";"2300";"2950";"0.0";"3750";"2350";"3250";"3250";"4000";"4700"
"Hollands Kroon";"2010";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Hollands Kroon";"2011";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Hollands Kroon";"2012*";"1750";"950";"1400";"1600";"1750";"2350";"0.0";"3600";"2100";"3150";"3250";"3800";"4400"
"Hoogeveen";"2010";"2100";"1300";"1850";"2150";"2400";"3050";"0.0";"3300";"2000";"3050";"3300";"3850";"4400"
"Hoogeveen";"2011";"1650";"1000";"1450";"1700";"1900";"2400";"0.0";"3300";"2000";"3050";"3300";"3850";"4400"
"Hoogeveen";"2012*";"1750";"1100";"1550";"1800";"2000";"2550";"0.0";"3250";"2000";"3050";"3250";"3750";"4300"
"Hoogezand-Sappemeer";"2010";"2100";"1300";"1850";"2200";"2350";"3200";"0.0";"3150";"2100";"2950";"3300";"3650";"4300"
"Hoogezand-Sappemeer";"2011";"1650";"950";"1450";"1700";"1850";"2500";"0.0";"3150";"2050";"2900";"3250";"3600";"4250"
"Hoogezand-Sappemeer";"2012*";"1750";"1050";"1550";"1850";"2000";"2700";"0.0";"3100";"2050";"2900";"3200";"3550";"4200"
"Hoorn";"2010";"1700";"1150";"1600";"1950";"2150";"2800";"0.0";"3250";"2150";"3300";"3550";"4100";"4800"
"Hoorn";"2011";"1350";"900";"1250";"1550";"1700";"2200";"0.0";"3300";"2200";"3300";"3550";"4200";"4800"
"Hoorn";"2012*";"1400";"950";"1350";"1600";"1800";"2350";"0.0";"3200";"2150";"3200";"3450";"4100";"4750"
"Horst aan de Maas";"2010";"2400";"1250";"1850";"2050";"2350";"3050";"0.0";"4250";"2250";"3650";"3750";"4200";"5200"
"Horst aan de Maas";"2011";"1850";"950";"1450";"1550";"1800";"2350";"0.0";"4150";"2250";"3600";"3700";"4050";"5100"
"Horst aan de Maas";"2012*";"1950";"1000";"1550";"1650";"1900";"2550";"0.0";"4100";"2350";"3550";"3650";"4000";"5000"
"Houten";"2010";"1450";"800";"1250";"1500";"2150";"3100";"18.0";"3800";"2450";"3800";"4000";"4650";"5300"
"Houten";"2011";"1100";"600";"950";"1150";"1700";"2400";"17.0";"3750";"2450";"3700";"3900";"4550";"5250"
"Houten";"2012*";"1150";"650";"1000";"1250";"1800";"2550";"16.0";"3550";"2350";"3600";"3800";"4350";"5150"
"Huizen";"2010";"2000";"1150";"1800";"2200";"2950";"4450";"0.0";"3500";"2300";"3450";"3750";"4250";"5500"
"Huizen";"2011";"1550";"900";"1400";"1700";"2250";"3450";"0.0";"3400";"2300";"3400";"3700";"4200";"5400"
"Huizen";"2012*";"1650";"950";"1500";"1800";"2450";"3700";"0.0";"3350";"2300";"3350";"3600";"4150";"5400"
"Hulst";"2010";"2050";"900";"1650";"1850";"2100";"2500";"0.0";"3200";"2250";"2650";"2850";"3300";"3750"
"Hulst";"2011";"1600";"700";"1250";"1400";"1600";"1900";"0.0";"3200";"2250";"2650";"2750";"3250";"3750"
"Hulst";"2012*";"1700";"750";"1350";"1500";"1700";"2050";"0.0";"3100";"2200";"2600";"2750";"3200";"3650"
"IJsselstein";"2010";"1650";"1150";"1550";"1950";"2400";"3150";"0.0";"3700";"2650";"3750";"4000";"5050";"5300"
"IJsselstein";"2011";"1250";"850";"1200";"1500";"1800";"2450";"0.0";"3650";"2600";"3750";"3950";"5000";"5200"
"IJsselstein";"2012*";"1350";"950";"1300";"1550";"1950";"2650";"0.0";"3550";"2600";"3650";"3850";"4900";"5100"
"Kaag en Braassem";"2010";"2050";"1100";"1700";"2000";"2400";"3050";"0.0";"3750";"2200";"3550";"3650";"4100";"4800"
"Kaag en Braassem";"2011";"1600";"900";"1300";"1550";"1850";"2400";"0.0";"3700";"2200";"3450";"3600";"4100";"4700"
"Kaag en Braassem";"2012*";"1650";"900";"1400";"1600";"1950";"2500";"0.0";"3600";"2300";"3400";"3550";"4050";"4700"
"Kampen";"2010";"2000";"1350";"1800";"2050";"2300";"2900";"0.0";"3250";"2200";"3050";"3300";"4100";"4600"
"Kampen";"2011";"1550";"1050";"1400";"1600";"1800";"2250";"0.0";"3200";"2200";"3000";"3250";"4100";"4550"
"Kampen";"2012*";"1600";"1150";"1500";"1700";"1900";"2450";"0.0";"3100";"2150";"2950";"3200";"4050";"4500"
"Kapelle";"2010";"1950";"1250";"1650";"1900";"1950";"2450";"0.0";"3450";"2050";"3050";"3250";"3450";"4150"
"Kapelle";"2011";"1500";"1000";"1250";"1450";"1500";"1900";"0.0";"3450";"2050";"3050";"3200";"3450";"4100"
"Kapelle";"2012*";"1600";"950";"1300";"1550";"1600";"2000";"0.0";"3250";"2050";"2950";"3100";"3300";"4000"
"Katwijk";"2010";"1700";"1250";"1750";"2100";"2600";"3350";"0.0";"3350";"2300";"3650";"3850";"4350";"5200"
"Katwijk";"2011";"1350";"950";"1350";"1650";"2050";"2650";"0.0";"3350";"2300";"3650";"3850";"4350";"5150"
"Katwijk";"2012*";"1450";"1050";"1450";"1700";"2150";"2800";"0.0";"3250";"2300";"3550";"3750";"4300";"5100"
"Kerkrade";"2010";"2050";"1450";"2000";"2250";"2650";"3400";"0.0";"3250";"2350";"3400";"3600";"3850";"4600"
"Kerkrade";"2011";"1600";"1100";"1500";"1700";"2050";"2650";"0.0";"3250";"2300";"3400";"3550";"3800";"4600"
"Kerkrade";"2012*";"1700";"1200";"1650";"1850";"2200";"2850";"0.0";"3150";"2300";"3300";"3500";"3750";"4550"
"Koggenland";"2010";"2100";"1000";"1700";"2000";"2200";"2800";"0.0";"3850";"2350";"3400";"3650";"4000";"4600"
"Koggenland";"2011";"1650";"800";"1300";"1550";"1700";"2200";"0.0";"3800";"2300";"3350";"3600";"4000";"4600"
"Koggenland";"2012*";"1700";"850";"1400";"1650";"1800";"2300";"0.0";"3700";"2250";"3250";"3550";"3950";"4550"
"Kollumerland en Nieuwkruisland";"2010";"2350";"1300";"2000";"2200";"2150";"2700";"0.0";"3150";"2050";"2600";"2700";"2950";"3650"
"Kollumerland en Nieuwkruisland";"2011";"1800";"1000";"1550";"1700";"1650";"2100";"0.0";"3100";"1950";"2600";"2700";"2900";"3650"
"Kollumerland en Nieuwkruisland";"2012*";"1900";"1100";"1650";"1750";"1750";"2200";"0.0";"3050";"2000";"2600";"2700";"2900";"3550"
"Korendijk";"2010";"2150";"1400";"1750";"2000";"2200";"2850";"0.0";"3650";"3050";"3150";"3350";"4000";"4650"
"Korendijk";"2011";"1700";"1100";"1350";"1550";"1750";"2250";"0.0";"3650";"3000";"3100";"3300";"3950";"4650"
"Korendijk";"2012*";"1750";"1100";"1400";"1650";"1800";"2350";"0.0";"3550";"2900";"3000";"3250";"3850";"4550"
"Krimpen aan den IJssel";"2010";"2000";"1200";"1900";"2300";"2600";"3550";"0.0";"3350";"2400";"3400";"3600";"3800";"4750"
"Krimpen aan den IJssel";"2011";"1500";"900";"1450";"1750";"2000";"2750";"0.0";"3250";"2350";"3300";"3500";"3750";"4700"
"Krimpen aan den IJssel";"2012*";"1600";"950";"1550";"1850";"2150";"2950";"0.0";"3200";"2300";"3250";"3450";"3750";"4650"
"Laarbeek";"2010";"2250";"1250";"1750";"1900";"2300";"3100";"0.0";"4000";"2300";"3400";"3450";"4100";"5050"
"Laarbeek";"2011";"1750";"950";"1350";"1500";"1800";"2450";"0.0";"4000";"2250";"3400";"3400";"4050";"5100"
"Laarbeek";"2012*";"1800";"950";"1450";"1550";"1900";"2550";"0.0";"3850";"2250";"3350";"3350";"4000";"5000"
"Landerd";"2010";"2350";"1200";"1750";"1900";"2450";"3050";"0.0";"4250";"2550";"3450";"3550";"4400";"5150"
"Landerd";"2011";"1850";"900";"1350";"1500";"1900";"2400";"0.0";"4250";"2500";"3450";"3600";"4450";"5200"
"Landerd";"2012*";"1900";"1000";"1450";"1600";"2000";"2550";"0.0";"4150";"2450";"3450";"3500";"4400";"5050"
"Landgraaf";"2010";"2150";"1300";"1900";"2200";"2450";"3300";"0.0";"3550";"2200";"3500";"3700";"3900";"4800"
"Landgraaf";"2011";"1600";"950";"1400";"1650";"1850";"2500";"0.0";"3450";"2150";"3350";"3550";"3750";"4650"
"Landgraaf";"2012*";"1700";"1000";"1500";"1750";"2000";"2750";"0.0";"3400";"2150";"3300";"3500";"3700";"4600"
"Landsmeer";"2010";"2150";"1000";"1850";"2250";"2850";"3300";"0.0";"3750";"2350";"3600";"3650";"4550";"4800"
"Landsmeer";"2011";"1700";"800";"1450";"1800";"2250";"2650";"0.0";"3700";"2400";"3550";"3600";"4500";"4800"
"Landsmeer";"2012*";"1800";"850";"1550";"1850";"2350";"2800";"0.0";"3600";"2300";"3450";"3550";"4350";"4750"
"Langedijk";"2010";"1850";"700";"1500";"1800";"2000";"2550";"9.0";"3750";"2300";"3400";"3500";"3950";"4600"
"Langedijk";"2011";"1450";"600";"1150";"1400";"1600";"2050";"9.0";"3750";"2250";"3400";"3550";"3950";"4550"
"Langedijk";"2012*";"1550";"600";"1250";"1500";"1650";"2150";"9.0";"3600";"2250";"3350";"3450";"3850";"4400"
"Lansingerland";"2010";"1750";"900";"1550";"1900";"2200";"3100";"5.0";"3850";"2350";"3750";"3900";"4450";"5450"
"Lansingerland";"2011";"1350";"700";"1200";"1500";"1700";"2400";"0.0";"3800";"2350";"3700";"3850";"4400";"5350"
"Lansingerland";"2012*";"1450";"750";"1250";"1550";"1800";"2550";"0.0";"3700";"2300";"3650";"3800";"4400";"5300"
"Laren (NH.)";"2010";"3100";"1450";"2100";"2650";"3350";"5000";"0.0";"3950";"2200";"3050";"3350";"4250";"5650"
"Laren (NH.)";"2011";"2400";"1150";"1650";"2050";"2600";"3900";"0.0";"3900";"2150";"3000";"3350";"4200";"5650"
"Laren (NH.)";"2012*";"2550";"1200";"1750";"2150";"2800";"4250";"0.0";"3900";"2350";"3000";"3500";"4250";"5600"
"Leek";"2010";"2400";"1450";"2000";"2250";"2350";"3000";"0.0";"3550";"2250";"3000";"3250";"3550";"4350"
"Leek";"2011";"1900";"1150";"1550";"1750";"1850";"2350";"0.0";"3550";"2150";"3000";"3250";"3600";"4300"
"Leek";"2012*";"2000";"1150";"1700";"1900";"1950";"2550";"0.0";"3450";"2100";"2950";"3200";"3550";"4300"
"Leerdam";"2010";"1950";"1200";"1800";"2100";"2600";"3050";"0.0";"3300";"2100";"3200";"3450";"4200";"4700"
"Leerdam";"2011";"1500";"900";"1350";"1600";"2050";"2400";"0.0";"3250";"2100";"3100";"3400";"4200";"4750"
"Leerdam";"2012*";"1600";"950";"1450";"1700";"2100";"2550";"0.0";"3150";"2050";"3050";"3300";"4050";"4600"
"Leeuwarden";"2010";"1750";"1250";"1750";"2100";"2200";"2650";"0.0";"2700";"1950";"2850";"3050";"3500";"4100"
"Leeuwarden";"2011";"1350";"1000";"1400";"1650";"1750";"2100";"0.0";"2650";"1850";"2850";"3000";"3500";"4100"
"Leeuwarden";"2012*";"1450";"1100";"1500";"1800";"1850";"2250";"0.0";"2650";"1850";"2800";"3000";"3450";"4050"
"Leeuwarderadeel";"2010";"2150";"1100";"1900";"2100";"2150";"2500";"0.0";"3250";"1850";"2850";"2950";"3300";"3850"
"Leeuwarderadeel";"2011";"1750";"900";"1450";"1650";"1700";"1950";"0.0";"3250";"1900";"2800";"2950";"3250";"3800"
"Leeuwarderadeel";"2012*";"1800";"950";"1550";"1750";"1800";"2100";"0.0";"3100";"1900";"2750";"2900";"3150";"3650"
"Leiden";"2010";"1400";"1100";"1550";"1900";"2800";"3700";"14.0";"2850";"2200";"3250";"3450";"4200";"4600"
"Leiden";"2011";"1100";"850";"1250";"1500";"2200";"2900";"14.0";"2850";"2200";"3200";"3450";"4200";"4500"
"Leiden";"2012*";"1150";"850";"1300";"1550";"2350";"3100";"14.0";"2750";"2200";"3150";"3350";"4100";"4450"
"Leiderdorp";"2010";"1700";"1200";"1750";"2150";"2550";"3500";"0.0";"3300";"2500";"3600";"3700";"4550";"5350"
"Leiderdorp";"2011";"1350";"900";"1400";"1700";"2050";"2800";"0.0";"3300";"2500";"3600";"3700";"4700";"5350"
"Leiderdorp";"2012*";"1350";"900";"1450";"1750";"2100";"2800";"0.0";"3200";"2450";"3500";"3550";"4450";"5250"
"Leidschendam-Voorburg";"2010";"1800";"1450";"2000";"2450";"3300";"3800";"0.0";"2900";"2200";"3600";"3900";"4500";"4850"
"Leidschendam-Voorburg";"2011";"1400";"1100";"1550";"1900";"2550";"2950";"0.0";"2850";"2150";"3550";"3850";"4500";"4850"
"Leidschendam-Voorburg";"2012*";"1500";"1200";"1650";"2000";"2700";"3100";"0.0";"2800";"2150";"3500";"3800";"4400";"4800"
"Lelystad";"2010";"1200";"850";"1150";"1200";"1000";"1950";"12.0";"3650";"2250";"3650";"3650";"4500";"5300"
"Lelystad";"2011";"1150";"850";"1100";"1200";"950";"1700";"15.0";"3500";"2200";"3500";"3500";"4400";"5150"
"Lelystad";"2012*";"1200";"900";"1150";"1300";"1050";"1850";"15.0";"3450";"2150";"3450";"3400";"4250";"5050"
"Lemsterland";"2010";"2100";"1300";"1750";"2000";"2050";"2700";"0.0";"3300";"2200";"2800";"2900";"3400";"4100"
"Lemsterland";"2011";"1650";"1000";"1350";"1550";"1600";"2100";"0.0";"3350";"2300";"2800";"2850";"3400";"4150"
"Lemsterland";"2012*";"1700";"1100";"1450";"1650";"1700";"2100";"0.0";"3200";"2300";"2700";"2850";"3300";"3800"
"Leudal";"2010";"2450";"1300";"2050";"2150";"2450";"3000";"0.0";"4150";"2300";"3700";"3850";"4100";"5000"
"Leudal";"2011";"1850";"900";"1500";"1600";"1850";"2300";"0.0";"4050";"2200";"3600";"3700";"3950";"4900"
"Leudal";"2012*";"1950";"950";"1650";"1700";"2000";"2450";"0.0";"4000";"2100";"3550";"3650";"3900";"4800"
"Leusden";"2010";"2050";"1150";"1850";"2150";"2650";"3400";"0.0";"3750";"2450";"3700";"3800";"4250";"5200"
"Leusden";"2011";"1600";"900";"1450";"1650";"2050";"2650";"0.0";"3700";"2400";"3600";"3750";"4200";"5200"
"Leusden";"2012*";"1650";"950";"1500";"1750";"2150";"2750";"0.0";"3550";"2300";"3550";"3650";"4100";"5050"
"Liesveld";"2010";"2150";"1250";"1650";"1950";"2400";"3050";"0.0";"3650";"1950";"3250";"3450";"3800";"4600"
"Liesveld";"2011";"1650";"950";"1300";"1500";"1900";"2350";"0.0";"3550";"1900";"3150";"3350";"3850";"4550"
"Liesveld";"2012*";"1700";"1050";"1350";"1550";"1950";"2450";"0.0";"3450";"2000";"3100";"3250";"3700";"4400"
"Lingewaal";"2010";"2200";"1150";"1700";"2050";"2200";"3000";"0.0";"3950";"2450";"3300";"3400";"4200";"4900"
"Lingewaal";"2011";"1750";"900";"1350";"1600";"1700";"2350";"0.0";"3900";"2450";"3300";"3350";"4200";"4900"
"Lingewaal";"2012*";"1800";"950";"1450";"1700";"1800";"2500";"0.0";"3750";"2250";"3200";"3300";"4100";"4750"
"Lingewaard";"2010";"2050";"1100";"1650";"1950";"2300";"3100";"0.0";"3750";"2300";"3400";"3550";"4250";"4900"
"Lingewaard";"2011";"1650";"900";"1300";"1550";"1850";"2450";"0.0";"3750";"2300";"3400";"3550";"4250";"4900"
"Lingewaard";"2012*";"1700";"950";"1400";"1650";"1950";"2550";"0.0";"3650";"2300";"3300";"3500";"4150";"4800"
"Lisse";"2010";"1800";"1250";"1650";"2000";"2550";"3450";"0.0";"3400";"2250";"3550";"3650";"4250";"5150"
"Lisse";"2011";"1400";"950";"1300";"1550";"2000";"2700";"0.0";"3350";"2250";"3500";"3550";"4200";"5050"
"Lisse";"2012*";"1450";"900";"1350";"1600";"2100";"2900";"0.0";"3300";"2250";"3450";"3550";"4150";"4900"
"Littenseradiel";"2010";"2350";"1450";"1800";"2050";"2150";"2650";"0.0";"3350";"2150";"2450";"2700";"3050";"3800"
"Littenseradiel";"2011";"1850";"900";"1400";"1600";"1700";"2100";"0.0";"3350";"2150";"2450";"2800";"3100";"3800"
"Littenseradiel";"2012*";"1950";"950";"1500";"1700";"1800";"2200";"0.0";"3200";"2150";"2400";"2750";"3050";"3700"
"Lochem";"2010";"2500";"1200";"1750";"2050";"2350";"3450";"0.0";"3700";"2200";"2900";"3000";"3900";"4600"
"Lochem";"2011";"2000";"950";"1400";"1600";"1900";"2750";"0.0";"3700";"2250";"2950";"3050";"3950";"4600"
"Lochem";"2012*";"2100";"1000";"1500";"1700";"2000";"2950";"0.0";"3650";"2250";"2850";"3000";"3850";"4550"
"Loon op Zand";"2010";"2100";"1150";"1750";"2000";"2400";"3150";"0.0";"3850";"2250";"3500";"3700";"4150";"5150"
"Loon op Zand";"2011";"1600";"850";"1350";"1500";"1800";"2400";"0.0";"3800";"2200";"3450";"3700";"4100";"5150"
"Loon op Zand";"2012*";"1750";"1000";"1450";"1600";"1950";"2650";"0.0";"3650";"2200";"3400";"3600";"4050";"5100"
"Lopik";"2010";"2150";"1300";"1700";"2000";"2500";"3050";"0.0";"4000";"2600";"3600";"3800";"4350";"4900"
"Lopik";"2011";"1650";"950";"1300";"1550";"1900";"2400";"0.0";"3950";"2450";"3600";"3750";"4300";"4850"
"Lopik";"2012*";"1800";"1000";"1350";"1600";"2100";"2600";"0.0";"3900";"2450";"3500";"3650";"4250";"4900"
"Loppersum";"2010";"2550";"1200";"2050";"2300";"2200";"2900";"0.0";"3400";"1850";"2750";"2800";"3050";"3900"
"Loppersum";"2011";"2000";"950";"1600";"1850";"1750";"2300";"0.0";"3400";"1750";"2650";"2800";"3000";"3900"
"Loppersum";"2012*";"2150";"1050";"1700";"2000";"1850";"2500";"0.0";"3300";"1750";"2650";"2700";"3000";"3800"
