"gemeente","dwel_type","class_2","class_1","class_3"
"Maasdonk","appartement",2650,2120,3180
"Maasdriel","appartement",2650,2120,3180
"Maasgouw","appartement",2300,1840,2760
"Maassluis","appartement",2300,1840,2760
"Maastricht","appartement",2200,1760,2640
"De Marne","appartement",1800,1440,2160
"Marum","appartement",2000,1600,2400
"Medemblik","appartement",2100,1680,2520
"Meerssen","appartement",2250,1800,2700
"Menameradiel","appartement",1700,1360,2040
"Menterwolde","appartement",2050,1640,2460
"Meppel","appartement",2100,1680,2520
"Middelburg (Z.)","appartement",2000,1600,2400
"Middelharnis","appartement",2150,1720,2580
"Midden-Delfland","appartement",2300,1840,2760
"Midden-Drenthe","appartement",2100,1680,2520
"Mill en Sint Hubert","appartement",2050,1640,2460
"Millingen aan de Rijn","appartement",2150,1720,2580
"Moerdijk","appartement",2350,1880,2820
"Montferland","appartement",2200,1760,2640
"Montfoort","appartement",2350,1880,2820
"Mook en Middelaar","appartement",2300,1840,2760
"Muiden","appartement",2550,2040,3060
"Naarden","appartement",2000,1600,2400
"Neder-Betuwe","appartement",2450,1960,2940
"Nederlek","appartement",2150,1720,2580
"Nederweert","appartement",2250,1800,2700
"Neerijnen","appartement",2900,2320,3480
"Nieuwegein","appartement",2400,1920,2880
"Nieuwkoop","appartement",2300,1840,2760
"Nieuw-Lekkerland","appartement",2050,1640,2460
"Nijkerk","appartement",2100,1680,2520
"Nijmegen","appartement",2100,1680,2520
"Noord-Beveland","appartement",1900,1520,2280
"Noordenveld","appartement",2150,1720,2580
"Noordoostpolder","appartement",1950,1560,2340
"Noordwijk","appartement",2050,1640,2460
"Noordwijkerhout","appartement",2400,1920,2880
"Nuenen, Gerwen en Nederwetten","appartement",2200,1760,2640
"Nunspeet","appartement",2100,1680,2520
"Nuth","appartement",2450,1960,2940
"Oegstgeest","appartement",2200,1760,2640
"Oirschot","appartement",2250,1800,2700
"Oisterwijk","appartement",2450,1960,2940
"Oldambt","appartement",2000,1600,2400
"Oldebroek","appartement",2300,1840,2760
"Oldenzaal","appartement",2300,1840,2760
"Olst-Wijhe","appartement",2200,1760,2640
"Ommen","appartement",2100,1680,2520
"Onderbanken","appartement",2300,1840,2760
"Oost Gelre","appartement",2350,1880,2820
"Oosterhout","appartement",2550,2040,3060
"Oostflakkee","appartement",2150,1720,2580
"Ooststellingwerf","appartement",2000,1600,2400
"Oostzaan","appartement",2000,1600,2400
"Opmeer","appartement",2000,1600,2400
"Opsterland","appartement",1850,1480,2220
"Oss","appartement",2200,1760,2640
"Oud-Beijerland","appartement",2300,1840,2760
"Oude IJsselstreek","appartement",2100,1680,2520
"Ouder-Amstel","appartement",2300,1840,2760
"Ouderkerk","appartement",2100,1680,2520
"Oudewater","appartement",2350,1880,2820
"Overbetuwe","appartement",2300,1840,2760
"Papendrecht","appartement",2200,1760,2640
"Peel en Maas","appartement",2300,1840,2760
"Pekela","appartement",2150,1720,2580
"Pijnacker-Nootdorp","appartement",2350,1880,2820
"Purmerend","appartement",2150,1720,2580
"Putten","appartement",2050,1640,2460
